序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","相對濕度 RH (percent)","空氣污染指標PSI PSI","紫外線指數 UVB (UVI)"
1,臺北市,2002/04/30,松山,7.7,0.83,28.7,-,61,-,67.39,29.08,38.31,-,-,-,26.64,-,-,110.0,-
2,臺北市,2002/04/30,古亭,4.5,0.76,29.0,-,44,38,50.61,15.37,35.24,-,-,-,26.9,-,-,106.0,-
3,臺北市,2002/04/30,中山,6.9,1.13,25.1,-,60,-,58.66,18.11,40.56,2.882,0.56,2.32,25.73,-,-,95.0,-
4,臺北市,2002/04/30,大同,9.9,2.77,-,-,70,-,129.27,77.87,51.4,3.753,1.35,2.4,27.99,-,-,60.0,-
5,臺北市,2002/04/30,萬華,6.6,1.14,25.1,-,80,-,51.36,14.09,37.26,-,-,-,26.71,-,-,99.0,-
6,臺北市,2002/04/30,陽明,2.3,0.29,54.5,-,18,-,6.71,0.39,6.32,-,-,-,21.17,-,84.0,64.0,-
7,臺北市,2002/04/30,士林,4.8,0.96,26.9,-,51,-,52.25,15.51,36.75,-,-,-,25.93,-,-,78.0,-
8,臺北市,2002/04/29,松山,4.7,0.76,20.9,-,44,-,65.66,34.76,30.89,-,-,-,25.68,-,-,74.0,-
9,臺北市,2002/04/29,古亭,4.2,0.8,24.2,-,24,20,49.9,17.45,32.45,-,-,-,26.57,-,-,89.0,-
10,臺北市,2002/04/29,中山,3.2,0.95,19.5,-,38,-,48.4,15.85,32.55,2.699,0.42,2.28,24.99,-,-,46.0,-
11,臺北市,2002/04/29,大同,5.1,2.36,-,-,41,-,101.04,61.31,39.73,3.75,1.25,2.5,27.31,-,-,41.0,-
12,臺北市,2002/04/29,萬華,4.2,0.96,24.1,-,41,-,40.62,9.67,30.95,-,-,-,26.16,-,-,89.0,-
13,臺北市,2002/04/29,陽明,0.6,0.32,54.2,-,12,-,3.57,0.05,3.52,-,-,-,20.38,-,84.0,58.0,-
14,臺北市,2002/04/29,士林,2.5,0.79,24.1,-,37,-,40.55,11.69,28.86,-,-,-,25.49,-,-,67.0,-
15,臺北市,2002/04/28,松山,3.6,0.3,27.5,-,27,-,41.1,11.6,29.5,-,-,-,22.13,-,-,30.0,-
16,臺北市,2002/04/28,古亭,2.9,0.22,26.8,-,25,16,24.82,4.61,20.21,1.613,0.08,1.53,22.68,-,-,31.0,-
17,臺北市,2002/04/28,中山,9.6,0.6,22.4,-,39,-,30.84,6.43,24.41,2.127,0.21,1.91,21.76,-,-,39.0,-
18,臺北市,2002/04/28,大同,10.9,2.3,-,-,40,-,114.73,73.96,40.77,3.019,0.83,2.19,24.32,-,-,40.0,-
19,臺北市,2002/04/28,萬華,3.5,0.53,27.2,-,39,-,22.82,2.8,20.01,-,-,-,22.7,-,-,39.0,-
20,臺北市,2002/04/28,陽明,1.0,0.26,40.8,-,12,-,2.34,0.08,2.26,-,-,-,20.12,-,88.0,56.0,-
21,臺北市,2002/04/28,士林,2.9,0.47,26.0,-,23,-,18.81,3.13,15.68,-,-,-,23.77,-,-,35.0,-
22,臺北市,2002/04/27,松山,3.6,0.32,27.1,-,32,-,45.47,12.56,32.92,-,-,-,20.73,-,-,32.0,-
23,臺北市,2002/04/27,古亭,2.7,0.24,29.4,-,26,13,27.19,5.05,22.14,2.273,0.21,2.07,21.37,-,-,34.0,-
24,臺北市,2002/04/27,中山,4.4,0.59,29.2,-,30,-,28.7,5.51,23.19,2.009,0.12,1.88,20.19,-,-,30.0,-
25,臺北市,2002/04/27,大同,6.4,2.33,-,-,44,-,118.56,74.38,44.18,3.033,0.83,2.2,22.63,-,-,44.0,-
26,臺北市,2002/04/27,萬華,3.6,0.52,30.4,-,33,-,25.07,3.01,22.06,-,-,-,21.32,-,-,33.0,-
