序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","相對濕度 RH (percent)","空氣污染指標PSI PSI","紫外線指數 UVB (UVI)"
1,臺北市,2004/04/30,松山,4.2,1.14,424.21,32.2,-,79,-,59.34,14.93,44.4,-,-,-,25.68,-,68.47,101.0,-
2,臺北市,2004/04/30,古亭,4.9,1.26,-,34.8,-,100,-,65.07,15.6,49.47,3.45,0.72,2.73,25.04,-,64.82,99.0,-
3,臺北市,2004/04/30,中山,-,1.32,-,36.2,-,84,-,88.72,29.85,58.86,3.424,1.065,2.36,28.15,-,66.78,103.0,-
4,臺北市,2004/04/30,大同,8.2,1.46,-,-,-,92,-,95.93,35.12,60.8,3.196,0.78,2.42,26.51,-,-,71.0,-
5,臺北市,2004/04/30,萬華,-,1.18,-,48.5,-,80,55.0,44.6,6.95,37.68,-,-,-,26.85,-,68.88,149.0,-
6,臺北市,2004/04/30,陽明,2.7,0.41,379.74,74.0,85,53,-,5.95,0.28,5.86,-,-,-,20.04,-,84.0,80.0,-
7,臺北市,2004/04/30,士林,6.0,1.0,-,38.3,-,78,-,43.17,5.45,37.71,-,-,-,25.32,-,73.47,95.0,-
8,臺北市,2004/04/29,松山,1.7,0.9,410.8,28.2,-,67,-,55.6,15.05,40.55,-,-,-,24.51,-,65.71,79.0,-
9,臺北市,2004/04/29,古亭,6.3,0.92,-,36.9,-,67,-,46.73,8.42,38.31,3.18,0.494,2.68,24.14,-,61.0,99.0,-
10,臺北市,2004/04/29,中山,-,1.16,-,35.0,-,73,-,73.74,21.35,52.39,3.223,0.974,2.25,27.0,-,63.3,108.0,-
11,臺北市,2004/04/29,大同,8.4,1.48,-,-,-,79,-,131.61,66.85,64.76,3.197,0.853,2.34,25.82,-,-,64.0,-
12,臺北市,2004/04/29,萬華,-,0.99,-,52.8,-,60,42.0,34.16,4.53,29.64,-,-,-,26.17,-,63.87,122.0,-
13,臺北市,2004/04/29,陽明,2.2,0.36,374.51,75.2,91,49,-,5.4,0.25,5.34,-,-,-,19.72,-,81.0,90.0,-
14,臺北市,2004/04/29,士林,3.3,0.79,-,48.8,-,67,-,37.03,5.79,31.22,-,-,-,24.59,-,68.4,132.0,-
15,臺北市,2004/04/28,松山,2.2,0.54,396.66,47.4,-,62,-,27.97,1.77,26.21,-,-,-,21.22,-,65.1,56.0,-
16,臺北市,2004/04/28,古亭,1.1,0.63,-,39.5,-,60,-,30.52,3.87,26.65,2.967,0.368,2.6,20.97,-,60.96,55.0,-
17,臺北市,2004/04/28,中山,-,0.62,-,32.8,-,57,-,35.24,5.22,30.04,2.505,0.678,1.83,23.68,-,63.51,54.0,-
18,臺北市,2004/04/28,大同,3.8,0.91,-,-,-,57,-,49.66,14.13,35.53,2.718,0.459,2.26,22.07,-,-,54.0,-
19,臺北市,2004/04/28,萬華,-,0.6,-,49.3,-,54,33.0,24.25,3.23,21.02,-,-,-,22.76,-,64.77,54.0,-
20,臺北市,2004/04/28,陽明,1.1,0.24,374.48,64.4,65,35,-,1.86,0.32,1.69,-,-,-,-,-,90.0,59.0,-
21,臺北市,2004/04/28,士林,3.0,0.33,-,57.5,-,55,-,11.81,1.09,10.76,-,-,-,21.53,-,65.79,58.0,-
22,臺北市,2004/04/27,松山,3.2,0.97,411.72,25.1,-,84,-,44.05,8.14,35.91,-,-,-,21.42,-,78.07,67.0,-
23,臺北市,2004/04/27,古亭,1.8,0.9,-,21.4,-,71,-,41.47,8.17,33.3,3.06,0.454,2.61,20.61,-,74.64,60.0,-
24,臺北市,2004/04/27,中山,-,1.01,-,19.1,-,73,-,52.2,11.24,40.96,2.68,0.798,1.88,23.83,-,76.28,62.0,-
25,臺北市,2004/04/27,大同,5.6,1.22,-,-,-,79,-,74.62,29.07,45.55,2.901,0.615,2.29,22.2,-,-,64.0,-
26,臺北市,2004/04/27,萬華,-,1.02,-,33.0,-,64,48.0,33.26,6.31,26.94,-,-,-,22.61,-,78.01,107.0,-
27,臺北市,2004/04/27,陽明,0.7,0.38,378.85,50.5,69,41,-,-,-,-,-,-,-,-,-,90.0,60.0,-
28,臺北市,2004/04/27,士林,3.6,0.85,-,34.4,-,72,-,27.62,6.82,20.79,-,-,-,21.2,-,80.73,61.0,-
29,臺北市,2004/04/26,松山,3.5,1.26,428.22,22.8,-,95,-,66.79,23.89,42.9,-,-,-,24.93,-,76.83,72.0,-
30,臺北市,2004/04/26,古亭,2.5,1.15,-,15.6,-,79,-,63.47,20.36,43.11,3.422,0.729,2.69,23.94,-,74.25,64.0,-
31,臺北市,2004/04/26,中山,-,1.49,-,-,-,87,-,105.86,50.47,55.39,3.204,1.124,2.08,27.06,-,76.25,68.0,-
32,臺北市,2004/04/26,大同,10.1,1.75,-,-,-,102,-,146.77,86.58,60.19,3.304,0.931,2.37,25.5,-,-,76.0,-
33,臺北市,2004/04/26,萬華,-,1.2,-,21.2,-,-,-,47.38,13.54,33.83,-,-,-,25.73,-,78.83,50.0,-
34,臺北市,2004/04/26,陽明,1.0,0.23,379.17,51.0,65,36,-,-,-,-,-,-,-,-,-,91.0,63.0,-
35,臺北市,2004/04/26,士林,5.4,0.97,-,17.2,-,71,-,50.59,17.79,32.79,-,-,-,24.41,-,80.68,60.0,-
36,臺北市,2004/04/25,松山,2.8,0.76,404.93,23.5,-,37,-,50.07,16.87,33.22,-,-,-,22.49,-,81.89,38.0,-
37,臺北市,2004/04/25,古亭,2.2,0.91,-,21.5,-,43,-,48.8,12.93,35.86,3.113,0.508,2.61,21.96,-,77.09,43.0,-
38,臺北市,2004/04/25,中山,-,0.91,-,26.3,-,37,-,63.53,25.24,38.33,2.763,0.781,1.98,24.91,-,79.4,37.0,-
39,臺北市,2004/04/25,大同,3.7,1.09,-,-,-,31,-,92.75,45.06,47.69,2.807,0.535,2.27,23.53,-,-,31.0,-
40,臺北市,2004/04/25,萬華,-,0.94,-,25.5,-,-,-,40.1,8.95,31.15,-,-,-,23.72,-,81.59,39.0,-
41,臺北市,2004/04/25,陽明,0.6,0.18,372.36,52.1,61,11,-,-,-,-,-,-,-,-,-,96.0,52.0,-
42,臺北市,2004/04/25,士林,1.7,0.61,-,32.5,-,37,-,27.83,6.87,20.99,-,-,-,22.87,-,80.24,44.0,-
43,臺北市,2004/04/24,松山,1.5,0.34,395.39,36.0,-,67,-,26.52,2.64,23.91,-,-,-,18.81,-,80.59,58.0,-
44,臺北市,2004/04/24,古亭,0.5,0.43,-,29.4,-,66,-,28.09,4.22,23.88,2.874,0.328,2.55,18.31,-,76.5,58.0,-
45,臺北市,2004/04/24,中山,-,0.46,-,24.5,-,59,-,34.32,4.4,29.93,2.478,0.625,1.85,21.15,-,79.51,54.0,-
46,臺北市,2004/04/24,大同,2.8,0.61,-,-,-,61,-,53.77,19.8,33.96,2.425,0.343,2.08,19.14,-,-,56.0,-
47,臺北市,2004/04/24,萬華,-,0.43,-,38.3,-,-,-,23.5,3.52,19.96,-,-,-,20.24,-,79.76,44.0,-
48,臺北市,2004/04/24,陽明,0.5,0.12,373.04,59.4,65,11,-,1.92,0.25,1.79,-,-,-,-,-,96.0,57.0,-
