序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","平均風速 WS_HR (m/sec)","平均風向 WD_HR (degress)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","相對濕度 RH (percent)","空氣污染指標PSI PSI","紫外線指數 UVB (UVI)"
1,臺北市,2007/06/30,松山,-,-,-,-,35,-,-,-,-,-,-,-,-,-,-,-,-,-,67.0,-
2,臺北市,2007/06/30,古亭,6.2,0.69,-,32.1,69,51,30.0,34.66,9.52,25.15,2.116,0.282,1.83,-,-,29.26,-,72.1,79.0,-
3,臺北市,2007/06/30,陽明,3.8,0.18,385.6,38.3,54,23,15.0,6.47,1.15,5.32,-,-,-,-,-,23.36,-,86.16,62.0,-
4,臺北市,2007/06/30,士林,-,-,-,-,56,-,-,-,-,-,-,-,-,-,-,-,-,-,71.0,-
5,臺北市,2007/06/30,萬華,5.7,0.66,-,36.5,71,48,27.0,26.72,5.09,21.63,-,-,-,-,-,30.98,-,67.7,81.0,-
6,臺北市,2007/06/30,中山,6.0,0.95,-,27.4,55,55,34.0,52.99,20.44,32.55,2.398,0.312,2.09,-,-,30.17,-,71.23,63.0,-
7,臺北市,2007/06/29,松山,5.7,0.77,413.93,24.6,56,43,28.0,43.68,18.08,25.59,2.325,0.367,1.96,-,-,29.25,-,75.92,69.0,-
8,臺北市,2007/06/29,古亭,3.7,0.86,-,19.9,51,47,27.0,43.47,16.11,27.36,2.292,0.439,1.85,-,-,28.44,-,80.17,66.0,-
9,臺北市,2007/06/29,陽明,2.4,0.15,390.74,31.5,48,17,12.0,5.74,1.48,4.26,-,-,-,-,-,23.02,-,90.81,53.0,-
10,臺北市,2007/06/29,士林,2.9,0.75,-,31.7,67,50,23.0,36.49,15.46,21.02,-,-,-,-,-,29.1,-,79.65,70.0,-
11,臺北市,2007/06/29,萬華,4.1,0.95,-,25.5,58,46,29.0,36.13,10.44,25.7,-,-,-,-,-,29.91,-,77.33,70.0,-
12,臺北市,2007/06/29,中山,4.1,1.35,-,25.4,53,55,34.0,68.9,34.97,33.92,2.529,0.472,2.06,-,-,29.73,-,77.57,60.0,-
13,臺北市,2007/06/28,松山,5.5,0.76,418.26,19.8,40,44,29.0,43.69,13.09,30.61,2.359,0.421,1.94,-,-,28.8,-,77.9,52.0,-
14,臺北市,2007/06/28,古亭,5.9,0.91,-,18.8,42,50,27.0,47.15,16.46,30.69,2.38,0.503,1.88,-,-,27.98,-,80.51,62.0,-
15,臺北市,2007/06/28,陽明,1.8,0.15,388.33,36.5,45,15,13.0,5.0,1.98,3.02,-,-,-,-,-,22.76,-,91.64,41.0,-
16,臺北市,2007/06/28,士林,2.8,0.67,-,21.7,45,50,24.0,29.96,8.18,21.78,-,-,-,-,-,28.69,-,80.18,50.0,-
17,臺北市,2007/06/28,萬華,6.4,0.97,-,21.0,46,41,26.0,41.2,10.85,30.35,-,-,-,-,-,29.39,-,77.7,58.0,-
18,臺北市,2007/06/28,中山,4.8,1.2,-,16.1,33,57,33.0,64.44,26.49,37.96,2.653,0.523,2.13,-,-,28.95,-,78.45,54.0,-
19,臺北市,2007/06/27,松山,7.3,0.74,413.66,17.6,34,37,23.0,48.75,15.98,32.77,2.255,0.36,1.9,-,-,27.55,-,84.1,37.0,-
20,臺北市,2007/06/27,古亭,5.7,0.84,-,17.2,38,41,22.0,47.77,15.18,32.58,2.273,0.358,1.92,-,-,27.07,-,84.61,57.0,-
21,臺北市,2007/06/27,陽明,2.5,0.16,394.84,34.6,53,16,13.0,7.2,2.52,4.68,-,-,-,-,-,22.2,-,92.98,53.0,-
22,臺北市,2007/06/27,士林,2.8,0.76,-,25.4,55,50,24.0,36.74,8.36,28.36,-,-,-,-,-,27.65,-,84.88,69.0,-
23,臺北市,2007/06/27,萬華,6.1,0.99,-,20.9,47,35,22.0,43.55,12.1,31.45,-,-,-,-,-,28.59,-,81.59,57.0,-
24,臺北市,2007/06/27,中山,5.3,1.07,-,16.8,34,45,31.0,64.32,23.7,40.61,2.495,0.38,2.12,-,-,27.81,-,84.28,45.0,-
25,臺北市,2007/06/26,松山,4.8,0.71,417.22,22.6,47,45,30.0,43.23,13.27,29.96,2.304,0.358,1.95,-,-,28.36,-,80.48,64.0,-
26,臺北市,2007/06/26,古亭,4.0,0.73,-,22.5,47,47,30.0,37.3,9.63,27.67,2.166,0.271,1.9,-,-,28.08,-,79.2,76.0,-
27,臺北市,2007/06/26,陽明,2.9,0.18,393.63,31.8,45,16,11.0,7.73,0.71,7.04,-,-,-,-,-,22.71,-,89.64,50.0,-
28,臺北市,2007/06/26,士林,2.7,0.53,-,29.3,58,44,19.0,25.06,3.74,21.33,-,-,-,-,-,28.97,-,76.14,72.0,-
29,臺北市,2007/06/26,萬華,4.5,0.9,-,26.4,57,48,26.0,40.21,10.03,30.18,-,-,-,-,-,29.96,-,74.71,81.0,-
30,臺北市,2007/06/26,中山,4.2,0.93,-,17.8,38,56,33.0,51.66,16.66,34.99,2.361,0.284,2.08,-,-,29.0,-,77.72,66.0,-
31,臺北市,2007/06/25,松山,6.1,0.71,414.91,16.2,28,46,28.0,43.09,10.33,32.76,2.236,0.368,1.87,-,-,29.28,-,74.8,46.0,-
32,臺北市,2007/06/25,古亭,4.4,0.73,-,19.4,36,53,28.0,38.51,9.04,29.47,2.142,0.273,1.87,-,-,29.47,-,72.16,52.0,-
33,臺北市,2007/06/25,陽明,2.7,0.21,392.48,33.5,48,24,15.0,9.03,0.88,8.15,-,-,-,-,-,23.19,-,87.89,52.0,-
34,臺北市,2007/06/25,士林,4.7,0.53,-,24.9,41,50,20.0,28.26,5.65,22.6,-,-,-,-,-,29.86,-,72.19,50.0,-
35,臺北市,2007/06/25,萬華,5.7,0.71,-,17.3,34,44,25.0,33.97,6.82,27.14,-,-,-,-,-,31.44,-,66.9,44.0,-
36,臺北市,2007/06/25,中山,6.9,0.95,-,14.0,23,68,35.0,60.91,22.79,38.12,2.382,0.303,2.08,-,-,30.0,-,72.68,59.0,-
