序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","平均風速 WS_HR (m/sec)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","相對濕度 RH (percent)","空氣污染指標PSI PSI","紫外線指數 UVB (UVI)"
1,臺北市,2008/02/29,松山,6.0,1.03,416.64,5.4,12,82,40.0,74.31,25.16,49.15,2.653,0.497,2.16,-,14.5,-,72.46,66.0,-
2,臺北市,2008/02/29,古亭,6.8,1.0,-,8.9,19,86,44.0,66.08,23.53,42.54,2.495,0.449,2.05,-,14.38,-,73.78,68.0,-
3,臺北市,2008/02/29,中山,6.2,1.28,-,7.8,15,90,50.0,89.99,42.66,47.33,2.824,0.621,2.2,-,13.91,-,73.2,70.0,-
4,臺北市,2008/02/29,萬華,6.5,1.07,-,12.7,29,85,48.0,61.27,22.17,39.09,-,-,-,-,13.86,-,76.88,68.0,-
5,臺北市,2008/02/29,陽明,2.7,0.3,397.97,40.9,45,31,19.0,6.79,1.51,5.27,-,-,-,-,8.3,-,82.39,42.0,-
6,臺北市,2008/02/29,士林,4.7,0.99,-,17.6,31,86,47.0,71.33,32.99,38.34,-,-,-,-,14.06,-,75.93,68.0,-
7,臺北市,2008/02/28,松山,5.2,0.51,396.76,20.2,31,45,21.0,39.38,10.53,28.86,2.271,0.219,2.05,-,13.94,-,62.0,45.0,-
8,臺北市,2008/02/28,古亭,3.3,0.5,-,24.0,34,51,21.0,37.25,9.84,27.41,2.09,0.168,1.92,-,14.22,-,60.79,50.0,-
9,臺北市,2008/02/28,中山,5.5,0.68,-,19.3,24,54,23.0,50.48,17.29,33.19,2.341,0.302,2.04,-,13.75,-,60.54,52.0,-
10,臺北市,2008/02/28,萬華,3.4,0.6,-,23.1,33,49,23.0,37.09,8.73,28.37,-,-,-,-,13.76,-,64.29,49.0,-
