序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","相對濕度 RH (percent)","空氣污染指標PSI PSI"
1,臺北市,2013/01/31,松山,2.8,1.0,430.53,23.5,47,54,33.0,60.9,26.88,34.01,2.433,0.396,2.04,18.9,59.36,52.0
2,臺北市,2013/01/31,古亭,3.0,0.84,-,23.5,45,56,34.0,47.95,15.48,32.47,2.26,0.301,1.96,19.5,60.6,53.0
3,臺北市,2013/01/31,中山,3.4,1.26,-,16.1,31,53,38.0,81.81,38.48,43.33,2.679,0.478,2.2,19.94,59.53,52.0
4,臺北市,2013/01/31,大同,4.9,2.05,-,-,-,66,45.0,119.99,70.71,49.28,3.141,0.839,2.3,-,-,58.0
5,臺北市,2013/01/31,萬華,6.6,1.13,-,15.9,28,55,39.0,63.23,21.03,42.18,-,-,-,19.84,59.85,52.0
6,臺北市,2013/01/31,陽明,1.6,0.22,406.44,48.8,52,23,18.0,4.25,1.25,3.0,-,-,-,13.58,76.29,46.0
7,臺北市,2013/01/31,士林,3.2,0.76,-,28.1,51,70,42.0,45.55,17.15,28.39,-,-,-,19.12,68.87,60.0
8,臺北市,2013/01/30,松山,3.1,0.63,423.6,18.7,45,49,25.0,40.07,9.58,30.49,2.222,0.238,1.99,16.63,66.54,49.0
9,臺北市,2013/01/30,古亭,2.7,0.62,-,27.9,44,55,36.0,33.73,10.15,23.59,2.109,0.175,1.93,17.43,65.37,52.0
10,臺北市,2013/01/30,中山,3.3,0.85,-,15.7,31,53,36.0,54.33,17.56,36.77,2.451,0.317,2.13,18.04,64.01,52.0
11,臺北市,2013/01/30,大同,4.0,1.49,-,-,-,60,44.0,92.89,52.2,40.69,2.739,0.567,2.17,-,-,55.0
12,臺北市,2013/01/30,萬華,3.8,0.67,-,18.8,34,49,36.0,40.9,8.69,32.21,-,-,-,17.87,64.05,49.0
13,臺北市,2013/01/30,陽明,1.5,0.26,407.27,53.4,57,32,27.0,2.95,1.13,1.82,-,-,-,10.87,85.84,50.0
14,臺北市,2013/01/30,士林,2.7,0.67,-,29.9,49,55,35.0,34.35,15.55,18.8,-,-,-,17.28,68.99,52.0
15,臺北市,2013/01/29,松山,4.2,0.78,430.21,14.1,22,50,25.0,56.25,21.89,34.36,2.377,0.346,2.03,16.38,72.42,50.0
16,臺北市,2013/01/29,古亭,5.2,0.8,-,15.7,25,65,32.0,52.55,19.69,32.86,2.368,0.365,2.0,16.85,72.7,58.0
17,臺北市,2013/01/29,中山,4.9,1.07,-,10.4,15,55,29.0,73.67,33.13,40.53,2.582,0.45,2.13,17.28,72.06,52.0
18,臺北市,2013/01/29,大同,5.5,1.63,-,-,-,52,32.0,94.2,55.93,38.27,2.869,0.678,2.19,-,-,51.0
19,臺北市,2013/01/29,萬華,6.1,0.95,-,10.9,17,53,29.0,57.64,21.66,35.99,-,-,-,17.2,72.4,52.0
20,臺北市,2013/01/29,陽明,1.6,0.28,409.61,48.0,56,26,23.0,4.64,1.43,3.2,-,-,-,10.89,83.21,49.0
