序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","風速 WIND_SPEED (m/sec)","大氣溫度 AMB_TEMP (℃)","相對濕度 RH (percent)","空氣污染指標PSI PSI"
1,臺北市,2013/12/31,松山,5.0,0.71,-,23.6,-,55,37.0,47.22,13.88,33.34,-,-,-,1.89,16.09,68.24,-
2,臺北市,2013/12/31,古亭,4.5,0.69,-,25.6,-,64,38.0,39.17,8.84,30.33,-,-,-,1.96,16.92,67.68,-
3,臺北市,2013/12/31,中山,3.5,0.91,-,18.6,-,80,42.0,55.59,18.17,37.42,-,-,-,1.67,17.52,67.96,-
4,臺北市,2013/12/31,大同,5.3,1.92,-,-,-,90,50.0,121.47,73.53,47.94,-,-,-,-,-,-,-
5,臺北市,2013/12/31,萬華,4.9,0.73,-,22.2,-,58,36.0,47.57,10.43,37.15,-,-,-,2.28,17.3,64.98,-
6,臺北市,2013/12/31,陽明,2.9,0.26,-,55.0,-,24,18.0,5.21,1.35,3.86,-,-,-,-,10.36,93.54,-
7,臺北市,2013/12/31,士林,4.7,0.71,-,27.5,-,59,37.0,34.78,9.26,25.53,-,-,-,1.53,16.81,67.67,-
8,臺北市,2013/12/30,松山,4.7,0.72,-,13.9,-,58,44.0,48.58,14.99,33.6,-,-,-,1.49,13.91,83.0,-
9,臺北市,2013/12/30,古亭,4.4,0.66,-,18.5,-,66,37.0,35.55,10.04,25.51,-,-,-,1.99,14.57,83.57,-
10,臺北市,2013/12/30,中山,5.1,0.85,-,11.8,-,77,49.0,56.99,21.16,35.83,-,-,-,1.77,15.02,84.4,-
11,臺北市,2013/12/30,大同,6.0,1.95,-,-,-,96,52.0,121.7,80.9,40.8,-,-,-,-,-,-,-
12,臺北市,2013/12/30,萬華,5.3,0.72,-,13.9,-,58,39.0,48.39,14.93,33.46,-,-,-,2.44,14.92,80.75,-
13,臺北市,2013/12/30,陽明,3.1,0.32,-,42.0,-,11,7.0,5.95,0.82,5.14,-,-,-,-,8.89,99.0,-
14,臺北市,2013/12/30,士林,4.5,0.68,-,20.4,-,62,41.0,35.18,10.87,24.31,-,-,-,1.37,14.7,77.59,-
15,臺北市,2013/12/29,松山,4.5,0.52,-,16.8,-,60,38.0,29.81,4.49,25.32,-,-,-,1.48,11.18,82.42,-
16,臺北市,2013/12/29,古亭,4.1,0.51,-,17.5,-,57,36.0,26.52,5.48,21.05,-,-,-,2.04,11.56,85.92,-
17,臺北市,2013/12/29,中山,4.1,0.6,-,11.7,-,82,47.0,38.44,11.85,26.59,-,-,-,1.68,12.24,84.81,-
18,臺北市,2013/12/29,大同,-,1.44,-,-,-,82,46.0,107.16,71.66,35.51,-,-,-,-,-,-,-
19,臺北市,2013/12/29,萬華,5.4,0.55,-,12.7,-,52,36.0,37.72,9.16,28.56,-,-,-,2.04,12.07,80.58,-
20,臺北市,2013/12/29,陽明,3.6,0.29,-,34.9,-,18,14.0,6.99,0.3,6.77,-,-,-,-,5.77,98.8,-
21,臺北市,2013/12/29,士林,3.7,0.43,-,21.0,-,58,33.0,22.49,3.96,18.53,-,-,-,1.78,11.83,77.63,-
22,臺北市,2013/12/28,松山,3.4,0.47,-,17.5,-,42,28.0,30.04,5.75,24.29,-,-,-,1.59,12.35,69.05,-
23,臺北市,2013/12/28,古亭,3.3,0.49,-,17.5,-,48,28.0,30.01,7.35,22.66,-,-,-,2.18,12.82,71.25,-
24,臺北市,2013/12/28,中山,2.3,0.71,-,12.3,-,63,34.0,46.32,18.27,28.04,-,-,-,1.52,13.61,69.64,-
25,臺北市,2013/12/28,大同,4.1,1.16,-,-,-,69,36.0,88.76,54.1,34.66,-,-,-,-,-,-,-
26,臺北市,2013/12/28,萬華,2.7,0.51,-,14.6,-,41,24.0,35.94,8.28,27.66,-,-,-,2.14,13.41,65.5,-
27,臺北市,2013/12/28,陽明,1.9,0.22,-,36.6,-,14,12.0,4.44,0.52,3.87,-,-,-,-,6.34,94.78,-
28,臺北市,2013/12/28,士林,3.6,0.42,-,24.4,-,43,26.0,23.9,6.76,17.13,-,-,-,1.91,13.12,65.45,-
29,臺北市,2013/12/27,松山,8.6,0.73,-,21.0,-,130,86.0,28.76,4.63,24.13,-,-,-,1.89,10.95,58.24,-
30,臺北市,2013/12/27,古亭,8.1,0.81,-,16.0,-,132,87.0,33.89,7.47,26.41,-,-,-,2.22,11.07,64.65,-
31,臺北市,2013/12/27,中山,8.6,0.87,-,15.6,-,153,94.0,39.81,11.78,28.02,-,-,-,1.74,11.77,63.01,-
32,臺北市,2013/12/27,大同,9.6,1.62,-,-,-,152,100.0,95.78,60.47,35.31,-,-,-,-,-,-,-
33,臺北市,2013/12/27,萬華,8.3,0.87,-,14.0,-,123,88.0,40.51,10.37,30.13,-,-,-,1.7,11.54,59.9,-
34,臺北市,2013/12/27,陽明,8.9,0.57,-,32.5,-,72,62.0,14.11,1.13,12.98,-,-,-,-,3.59,92.37,-
35,臺北市,2013/12/27,士林,9.8,0.66,-,26.3,-,132,93.0,21.61,3.6,18.02,-,-,-,2.8,11.38,57.6,-
36,臺北市,2013/12/26,松山,4.4,0.68,-,21.8,-,53,40.0,33.37,5.74,27.64,-,-,-,1.39,14.44,78.95,-
37,臺北市,2013/12/26,古亭,4.7,0.89,-,15.8,-,65,40.0,43.48,12.03,31.45,-,-,-,1.53,14.34,89.6,-
38,臺北市,2013/12/26,中山,5.4,1.02,-,13.3,-,74,49.0,54.91,19.8,35.11,-,-,-,1.35,15.11,82.93,-
39,臺北市,2013/12/26,大同,6.2,2.06,-,-,-,84,49.0,109.64,71.23,38.42,-,-,-,-,-,-,-
40,臺北市,2013/12/26,萬華,5.1,0.94,-,13.8,-,59,41.0,45.88,11.45,34.44,-,-,-,1.43,14.74,81.8,-
41,臺北市,2013/12/26,陽明,4.6,0.45,-,40.3,-,36,29.0,9.18,1.02,8.16,-,-,-,-,8.78,98.73,-
42,臺北市,2013/12/26,士林,4.9,0.63,-,26.9,-,63,41.0,28.46,7.34,21.1,-,-,-,2.08,14.57,77.18,-
43,臺北市,2013/12/25,松山,2.6,0.54,-,23.9,-,27,22.0,31.71,5.76,25.93,-,-,-,1.7,15.34,88.57,-
44,臺北市,2013/12/25,古亭,2.2,0.63,-,21.5,-,33,22.0,34.11,8.32,25.79,-,-,-,2.19,15.73,97.16,-
45,臺北市,2013/12/25,中山,2.4,0.81,-,16.9,-,52,29.0,45.59,16.06,29.52,-,-,-,1.7,16.36,89.93,-
46,臺北市,2013/12/25,大同,4.0,2.15,-,-,-,52,31.0,121.72,82.64,39.08,-,-,-,-,-,-,-
47,臺北市,2013/12/25,萬華,2.9,0.77,-,17.0,-,27,23.0,45.41,13.79,31.62,-,-,-,1.99,16.15,87.99,-
48,臺北市,2013/12/25,陽明,0.9,0.26,-,46.5,-,5,3.0,2.54,0.85,1.69,-,-,-,-,11.07,99.0,-
49,臺北市,2013/12/25,士林,2.7,0.59,-,25.1,-,34,21.0,32.01,8.98,23.02,-,-,-,1.74,16.15,82.52,-
50,臺北市,2013/12/24,松山,2.3,0.42,-,28.9,-,28,24.0,26.86,4.56,22.29,-,-,-,2.01,13.95,85.59,-
51,臺北市,2013/12/24,古亭,2.2,0.46,-,28.0,-,34,23.0,25.62,5.74,19.88,-,-,-,2.79,14.28,94.35,-
52,臺北市,2013/12/24,中山,2.7,0.6,-,20.8,-,45,31.0,36.21,9.99,26.22,-,-,-,2.14,15.02,86.78,-
53,臺北市,2013/12/24,大同,3.8,1.49,-,-,-,54,27.0,97.53,60.02,37.52,-,-,-,-,-,-,-
54,臺北市,2013/12/24,萬華,2.7,0.49,-,23.6,-,29,23.0,32.72,6.84,25.88,-,-,-,2.98,14.81,84.09,-
55,臺北市,2013/12/24,陽明,1.4,0.23,-,46.7,-,7,6.0,2.81,1.16,1.65,-,-,-,-,9.08,99.0,-
56,臺北市,2013/12/24,士林,2.2,0.33,-,36.5,-,29,20.0,21.32,8.04,13.26,-,-,-,2.4,15.11,75.8,-
57,臺北市,2013/12/23,松山,1.8,0.36,-,24.8,-,18,13.0,28.08,4.95,23.11,-,-,-,1.93,14.78,88.01,-
58,臺北市,2013/12/23,古亭,2.3,0.44,-,21.8,-,29,13.0,30.17,7.07,23.1,-,-,-,2.31,15.18,96.71,-
