序號,縣市,監測日期,測站,二氧化硫
SO2
(ppb),一氧化碳
CO
(ppm),二氧化碳
CO2
(ppm),臭氧
O3
(ppb),"懸浮微粒
PM 10 
(μg/m 3 )","細懸浮微粒
PM 2.5 
(μg/m 3 )",氮氧化物
NOx
(ppb),一氧化氮
NO
(ppb),二氧化氮
NO2
(ppb),風速
WIND_SPEED
(m/sec),大氣溫度
AMB_TEMP
(℃),相對濕度
RH
(percent)
1,臺北市,2014/01/31,松山,-,-,-,-,-,28,-,-,-,-,-,-
2,臺北市,2014/01/31,松山,1.9,0.39,420.01,36,46,-,17.14,1.45,15.68,1.92,20.62,63.18
3,臺北市,2014/01/31,古亭,-,-,-,-,-,30,-,-,-,-,-,-
4,臺北市,2014/01/31,古亭,2,0.44,-,29.8,51,-,19.57,2.95,16.62,2.43,20.99,64.09
5,臺北市,2014/01/31,中山,-,-,-,-,-,30,-,-,-,-,-,-
6,臺北市,2014/01/31,中山,3,0.56,-,26.9,70,-,32.32,6.16,26.15,2.22,21.74,62.49
7,臺北市,2014/01/31,大同,-,-,-,-,-,28,-,-,-,-,-,-
8,臺北市,2014/01/31,大同,3,0.9,-,-,66,-,63.29,27.67,35.62,-,-,-
9,臺北市,2014/01/31,萬華,-,-,-,-,-,27,-,-,-,-,-,-
10,臺北市,2014/01/31,萬華,-,0.42,-,31.6,39,-,23.73,2.86,20.87,2.3,21.75,61.34
11,臺北市,2014/01/31,陽明,-,-,-,-,-,22,-,-,-,-,-,-
12,臺北市,2014/01/31,陽明,1.4,0.22,383.89,55.6,26,-,1.93,0.29,1.72,-,15.6,80.09
13,臺北市,2014/01/31,士林,-,-,-,-,-,41,-,-,-,-,-,-
14,臺北市,2014/01/31,士林,1.7,0.45,-,37.1,71,-,20.4,6.12,14.28,2.75,21.03,62.98
15,臺北市,2014/01/30,松山,-,-,-,-,-,41,-,-,-,-,-,-
16,臺北市,2014/01/30,松山,4.4,0.87,448.18,26.5,58,-,45.68,12.46,33.21,1.15,18.64,62.53
17,臺北市,2014/01/30,古亭,-,-,-,-,-,40,-,-,-,-,-,-
18,臺北市,2014/01/30,古亭,3.4,0.76,-,27.5,62,-,38.41,8.18,30.24,1.17,19.01,63.57
19,臺北市,2014/01/30,中山,-,-,-,-,-,38,-,-,-,-,-,-
20,臺北市,2014/01/30,中山,5.3,0.84,-,26.3,91,-,49.81,12.14,37.67,1.25,19.68,59.05
21,臺北市,2014/01/30,大同,-,-,-,-,-,37,-,-,-,-,-,-
22,臺北市,2014/01/30,大同,5.6,1.38,-,-,74,-,74.91,28.58,46.34,-,-,-
23,臺北市,2014/01/30,萬華,-,-,-,-,-,44,-,-,-,-,-,-
24,臺北市,2014/01/30,萬華,5.5,0.8,-,32.5,58,-,40.94,6.39,34.55,1.1,19.58,56.47
25,臺北市,2014/01/30,陽明,-,-,-,-,-,38,-,-,-,-,-,-
