序號,縣市,監測日期,測站,二氧化硫
SO2
(ppb),一氧化碳
CO
(ppm),臭氧
O3
(ppb),"懸浮微粒
PM 10 
(μg/m 3 )","細懸浮微粒
PM 2.5 
(μg/m 3 )",氮氧化物
NOx
(ppb),一氧化氮
NO
(ppb),二氧化氮
NO2
(ppb),風速
WIND_SPEED
(m/sec),溫度
AMB_TEMP
(℃),相對濕度
RH
(percent)
1,臺北市,2015/01/31,松山,-,-,-,-,17,-,-,-,-,-,-
2,臺北市,2015/01/31,松山,2.3,0.55,24.6,27,-,22.5,3.93,18.57,1.94,13.71,81.94
3,臺北市,2015/01/31,古亭,-,-,-,-,21,-,-,-,-,-,-
4,臺北市,2015/01/31,古亭,2.4,0.56,24.1,36,-,20.63,4.43,16.2,2.94,14.44,83.5
5,臺北市,2015/01/31,中山,-,-,-,-,16,-,-,-,-,-,-
6,臺北市,2015/01/31,中山,2.5,0.69,21.7,39,-,29.14,8.05,21.09,2.45,14.92,79.84
7,臺北市,2015/01/31,大同,-,-,-,-,13,-,-,-,-,-,-
8,臺北市,2015/01/31,大同,2.7,1.08,-,43,-,59.38,31.7,27.68,-,-,-
9,臺北市,2015/01/31,萬華,-,-,-,-,16,-,-,-,-,-,-
10,臺北市,2015/01/31,萬華,2,0.57,22.4,28,-,23.92,4.9,19.02,3.04,14.67,76.74
11,臺北市,2015/01/31,陽明,-,-,-,-,3,-,-,-,-,-,-
12,臺北市,2015/01/31,陽明,1.4,0.38,40,5,-,2.59,0.51,2,-,7.36,100
13,臺北市,2015/01/31,士林,-,-,-,-,12,-,-,-,-,-,-
14,臺北市,2015/01/31,士林,0.8,0.44,35.4,21,-,10.51,2.37,8.14,2.41,14.9,69.83
15,臺北市,2015/01/30,松山,-,-,-,-,5,-,-,-,-,-,-
16,臺北市,2015/01/30,松山,0.7,0.35,25.5,16,-,19.51,3.75,15.76,2.34,16.25,77.46
17,臺北市,2015/01/30,古亭,-,-,-,-,7,-,-,-,-,-,-
18,臺北市,2015/01/30,古亭,1.1,0.43,20.1,30,-,23.5,4.83,18.67,2.56,16.98,79.64
19,臺北市,2015/01/30,中山,-,-,-,-,5,-,-,-,-,-,-
20,臺北市,2015/01/30,中山,1.7,0.56,19.8,37,-,31.16,10.82,20.35,1.87,17.49,75.37
21,臺北市,2015/01/30,大同,-,-,-,-,4,-,-,-,-,-,-
22,臺北市,2015/01/30,大同,2.8,0.98,-,26,-,65.46,39.36,26.1,-,-,-
23,臺北市,2015/01/30,萬華,-,-,-,-,5,-,-,-,-,-,-
24,臺北市,2015/01/30,萬華,1.4,0.47,17.7,18,-,30.11,7.99,22.13,1.94,17.21,73.39
25,臺北市,2015/01/30,陽明,-,-,-,-,1,-,-,-,-,-,-
26,臺北市,2015/01/30,陽明,0.5,0.18,37.8,5,-,2.45,1.31,1.14,-,9.45,100
