序號,縣市,監測日期,測站,二氧化硫
SO2
(ppb),一氧化碳
CO
(ppm),二氧化碳
CO2
(ppm),臭氧
O3
(ppb),"懸浮微粒
PM 10 
(μg/m 3 )","細懸浮微粒
PM 2.5 
(μg/m 3 )",氮氧化物
NOx
(ppb),一氧化氮
NO
(ppb),二氧化氮
NO2
(ppb),風速
WIND_SPEED
(m/sec),溫度
AMB_TEMP
(℃),相對濕度
RH
(percent)
1,臺北市,2015/05/31,松山,-,-,-,-,-,16,-,-,-,-,-,-
2,臺北市,2015/05/31,松山,2.7,0.34,415.39,31.8,31,-,16.91,2.9,14.01,1.83,28.28,76.73
3,臺北市,2015/05/31,古亭,-,-,-,-,-,18,-,-,-,-,-,-
4,臺北市,2015/05/31,古亭,2.7,0.43,-,23,39,-,19.45,2.92,16.54,1.67,28.69,76.46
5,臺北市,2015/05/31,中山,-,-,-,-,-,17,-,-,-,-,-,-
6,臺北市,2015/05/31,中山,2.5,0.53,-,25.1,36,-,24.83,6.01,18.81,1.79,28.54,81.12
7,臺北市,2015/05/31,大同,-,-,-,-,-,12,-,-,-,-,-,-
8,臺北市,2015/05/31,大同,3,0.82,-,-,46,-,31.19,10.53,20.66,-,-,-
9,臺北市,2015/05/31,萬華,-,-,-,-,-,14,-,-,-,-,-,-
10,臺北市,2015/05/31,萬華,2.6,0.5,-,25.6,30,-,23.57,3.8,19.76,1.44,28.24,80.44
11,臺北市,2015/05/31,陽明,-,-,-,-,-,10,-,-,-,-,-,-
12,臺北市,2015/05/31,陽明,1.4,0.15,402.87,34.4,12,-,3.71,1.04,2.67,-,21.58,90.36
13,臺北市,2015/05/31,士林,-,-,-,-,-,13,-,-,-,-,-,-
14,臺北市,2015/05/31,士林,2,0.24,-,35.4,31,-,11.53,2.29,9.24,2.3,27.73,79.24
15,臺北市,2015/05/30,松山,-,-,-,-,-,15,-,-,-,-,-,-
16,臺北市,2015/05/30,松山,3.9,0.49,425.73,22.7,34,-,26.79,6.78,20.01,2.3,31.29,62.49
17,臺北市,2015/05/30,古亭,-,-,-,-,-,14,-,-,-,-,-,-
18,臺北市,2015/05/30,古亭,2.6,0.4,-,19.5,37,-,18.93,4.11,14.82,2.33,31.11,63.77
19,臺北市,2015/05/30,中山,-,-,-,-,-,17,-,-,-,-,-,-
20,臺北市,2015/05/30,中山,2.3,0.7,-,15.7,37,-,34.53,11.43,23.1,2.09,32.02,64.72
21,臺北市,2015/05/30,大同,-,-,-,-,-,16,-,-,-,-,-,-
22,臺北市,2015/05/30,大同,2.7,1.39,-,-,46,-,44.78,22.18,22.6,-,-,-
23,臺北市,2015/05/30,萬華,-,-,-,-,-,13,-,-,-,-,-,-
24,臺北市,2015/05/30,萬華,1.4,0.48,-,21.9,24,-,21.39,5.07,16.31,2.1,31.19,65.86
