序號,縣市,監測日期,測站,二氧化硫
SO2
(ppb),一氧化碳
CO
(ppm),二氧化碳
CO2
(ppm),臭氧
O3
(ppb),"懸浮微粒
PM 10 
(μg/m 3 )","細懸浮微粒
PM 2.5 
(μg/m 3 )",氮氧化物
NOx
(ppb),一氧化氮
NO
(ppb),二氧化氮
NO2
(ppb),總碳氫化合物
THC
(ppm),非甲烷碳氫化合物
NMHC
(ppm),甲烷
CH4
(ppm),風速
WIND_SPEED
(m/sec),小時風速值
WS_HR
(m/sec),溫度
AMB_TEMP
(℃),降雨強度
RAIN_INT
(㎜),酸雨
PH_RAIN
(pH),相對濕度
RH
(percent),導電度
RAIN_COND
(μmho/cm)
1,臺北市,2018/01/31,松山,2.7,0.41,426.06,25.5,15,5,25.32,5.55,19.76,1.91,0.109,1.802,1.66,1.24,14.75,-,-,88.15,-
2,臺北市,2018/01/31,古亭,2.1,0.55,-,24.7,14,6,28.3,6.12,22.16,1.984,0.141,1.843,1.74,1.54,15.24,-,-,88.9,-
3,臺北市,2018/01/31,中山,1.3,0.64,-,19.5,14,8,39.42,11.87,27.55,2.127,0.192,1.935,1.82,1.33,15.27,-,-,95.2,-
4,臺北市,2018/01/31,大同,2.7,1.38,-,-,31,12,89.08,54.42,34.65,2.417,0.417,2,-,-,-,-,-,-,-
5,臺北市,2018/01/31,萬華,2.4,0.52,-,19,15,8,31.64,5.54,26.14,-,-,-,1.64,1.37,15.95,-,-,86.96,-
6,臺北市,2018/01/31,陽明,0.6,0.2,418.89,43.5,5,1,0.52,0.1,0.56,-,-,-,3.56,-,9.86,1.98,5.35,99.5,4.68
7,臺北市,2018/01/31,士林,1.9,0.34,-,30,15,4,14.09,1.03,13.12,-,-,-,1.92,1.54,15.93,-,-,86.15,-
8,臺北市,2018/01/30,松山,2.4,0.31,441.54,24,21,9,25.86,5.18,20.68,1.899,0.096,1.802,1.78,1.38,12.66,-,-,86.87,-
9,臺北市,2018/01/30,古亭,1.5,0.39,-,28.4,14,7,21.44,3.77,17.67,1.967,0.09,1.878,2.56,2.24,13.05,-,-,88.7,-
10,臺北市,2018/01/30,中山,0.7,0.52,-,22,13,7,33.14,9.75,23.39,2.019,0.134,1.885,2.34,1.98,13.2,-,-,94.16,-
11,臺北市,2018/01/30,大同,3,0.95,-,-,35,9,71.52,40.01,31.51,2.223,0.28,1.943,-,-,-,-,-,-,-
12,臺北市,2018/01/30,萬華,2.4,0.39,-,22.2,14,7,28.33,5.62,22.71,-,-,-,2.55,2.19,13.75,-,-,84.22,-
13,臺北市,2018/01/30,陽明,1.2,0.16,418.5,42.7,5,2,0.74,0.22,0.61,-,-,-,4.3,-,7.32,1.46,4.7,99.5,11.64
14,臺北市,2018/01/30,士林,1.7,0.26,-,37.7,12,5,8.09,0.68,7.41,-,-,-,2.57,2.22,14.3,-,-,79.55,-
15,臺北市,2018/01/29,松山,1.2,0.4,456.2,27.1,18,9,18.19,3.75,14.45,1.891,0.077,1.814,2.09,1.8,12.03,-,-,83.49,-
16,臺北市,2018/01/29,古亭,1.5,0.46,-,26.3,19,10,20.54,3.28,17.25,2.005,0.094,1.911,2.45,2.02,12.54,-,-,86.09,-
17,臺北市,2018/01/29,中山,-,0.59,-,21.3,16,9,30.69,8.31,22.39,2.028,0.134,1.895,1.83,1.4,12.95,-,-,87.76,-
18,臺北市,2018/01/29,大同,2.2,0.85,-,-,31,10,59.12,32.15,26.97,2.18,0.224,1.956,-,-,-,-,-,-,-
19,臺北市,2018/01/29,萬華,1.5,0.48,-,21.4,16,8,25.64,5.68,19.96,-,-,-,2.13,1.75,13.38,-,-,78.79,-
20,臺北市,2018/01/29,陽明,0.7,0.28,424.48,38.2,5,3,1.95,0.25,1.65,-,-,-,3.16,-,6.07,1.9,4.72,99.5,13.49
21,臺北市,2018/01/29,士林,2.2,0.34,-,34.4,7,5,6.09,1.12,4.99,-,-,-,2.46,1.83,13.64,-,-,76.14,-
22,臺北市,2018/01/28,松山,1.5,0.51,461.6,13.4,16,8,30.46,10.55,19.91,2.059,0.158,1.901,1.56,1.29,16.28,-,-,82.88,-
23,臺北市,2018/01/28,古亭,1.5,0.46,-,11.9,14,8,29.9,7.63,22.27,2.135,0.163,1.971,1.39,1,16.43,-,-,86.63,-
